,date,address,price,changes,saleable_area(ft^2),unit_rate,district,Tower,Flat,Phase,Block,Rental,Public Housing,floor
0,9/3/2023,"The Long Beach, Tower 7, Middle Floor, Flat D",33000,--,816,40,Kowloon Kowloon City District,7,D,,,TRUE,FALSE,13
1,9/3/2023,"One Kai Tak, II, Tower 3, Upper Floor, Flat H",15800,--,375,42,Kowloon Kowloon City District,3,H,,,TRUE,FALSE,22
2,8/3/2023,"Sky Tower, Block 1, Lower Floor, Flat B",18800,--,520,36,Kowloon Kowloon City District,,B,,1,TRUE,FALSE,7
3,8/3/2023,"Hampton Place, Tower 2, Upper Floor, Flat F",17000,--,429,40,Kowloon Kowloon City District,2,F,,,TRUE,FALSE,22
4,8/3/2023,"Skypark, Upper Floor, Flat A5",18000,--,407,44,Kowloon Kowloon City District,,A,,,TRUE,FALSE,22
5,8/3/2023,"Eltanin Square Mile, Tower 1, Upper Floor, Flat G",14300,--,255,56,Kowloon Kowloon City District,1,G,,,TRUE,FALSE,22
6,8/3/2023,"Cetus Square Mile, Tower 1, Lower Floor, Flat G",12000,--,194,62,Kowloon Kowloon City District,1,G,,,TRUE,FALSE,7
7,8/3/2023,"Metro Harbour View, Phase 2, Tower 10, Upper Floor, Flat B",6680000,--,423,15792,Kowloon Kowloon City District,10,B,2,,FALSE,FALSE,22
8,8/3/2023,"Metro Harbour View, Phase 1, Tower 3, Upper Floor, Flat B",16000,--,386,41,Kowloon Kowloon City District,3,B,1,,TRUE,FALSE,22
9,8/3/2023,"Celestial Heights, Phase 2, 22 Celestial Avenue, Middle Floor, No. 22",38000,--,"1,155",33,Kowloon Kowloon City District,,,2,,TRUE,FALSE,13
10,8/3/2023,"The Coronation, Tower 6, Middle Floor, Flat A",18500,--,466,40,Kowloon Kowloon City District,6,A,,,TRUE,FALSE,13
11,8/3/2023,"Residence Bel-Air, Phase 6 Bel-Air No. 8, Tower 5, Middle Floor, Flat C",51000,--,"1,029",50,Kowloon Kowloon City District,5,C,6,,TRUE,FALSE,13
12,8/3/2023,"South Horizons, Phase 4 The Oasis, Cambridge Court (Block 33A), Lower Floor, Flat F",20000,--,652,31,Kowloon Kowloon City District,,F,4,33,TRUE,FALSE,7
13,8/3/2023,"One Beacon Hill, Phase 1, Tower 3, Lower Floor, Flat B",76000000,--,"2,190",34703,Kowloon Kowloon City District,3,B,1,,FALSE,FALSE,7
